;Code;Char;Name;Category;Subcategory;Block;Family;CountBusiness;CountWikipedia;Count
0;101;e;Latin Small Letter E;Letter;Lowercase;Basic Latin;Latin;3505036257.0;4598275413;8103311670.0
1;115;s;Latin Small Letter S;Letter;Lowercase;Basic Latin;Latin;1960573460.0;2534185235;4494758695.0
2;97;a;Latin Small Letter A;Letter;Lowercase;Basic Latin;Latin;1865613398.0;2447667654;4313281052.0
3;110;n;Latin Small Letter N;Letter;Lowercase;Basic Latin;Latin;1819382026.0;2388677306;4208059332.0
4;105;i;Latin Small Letter I;Letter;Lowercase;Basic Latin;Latin;1766467131.0;2331584399;4098051530.0
5;114;r;Latin Small Letter R;Letter;Lowercase;Basic Latin;Latin;1751654423.0;2277785371;4029439794.0
6;116;t;Latin Small Letter T;Letter;Lowercase;Basic Latin;Latin;1664870278.0;2182840302;3847710580.0
7;111;o;Latin Small Letter O;Letter;Lowercase;Basic Latin;Latin;1405510819.0;1799541193;3205052012.0
8;117;u;Latin Small Letter U;Letter;Lowercase;Basic Latin;Latin;1380251545.0;1776401996;3156653541.0
9;108;l;Latin Small Letter L;Letter;Lowercase;Basic Latin;Latin;1260444561.0;1707391048;2967835609.0
10;100;d;Latin Small Letter D;Letter;Lowercase;Basic Latin;Latin;958685143.0;1300625223;2259310366.0
11;99;c;Latin Small Letter C;Letter;Lowercase;Basic Latin;Latin;823995912.0;1059079086;1883074998.0
12;112;p;Latin Small Letter P;Letter;Lowercase;Basic Latin;Latin;721841328.0;920180985;1642022313.0
13;109;m;Latin Small Letter M;Letter;Lowercase;Basic Latin;Latin;656040736.0;844904352;1500945088.0
14;233;é;Latin Small Letter E With Acute;Letter;Lowercase;Latin-1 Supplement;Latin;585661398.0;784586723;1370248121.0
15;118;v;Latin Small Letter V;Letter;Lowercase;Basic Latin;Latin;348252945.0;426571538;774824483.0
16;44;,;Comma;Punctuation;Other;Basic Latin;Latin;286106887.0;406440340;692547227.0
17;39;';Apostrophe;Punctuation;Other;Basic Latin;Latin;279746032.0;359616050;639362082.0
18;46;.;Full Stop;Punctuation;Other;Basic Latin;Latin;270047976.0;329591605;599639581.0
19;102;f;Latin Small Letter F;Letter;Lowercase;Basic Latin;Latin;265939155.0;342929703;608868858.0
20;103;g;Latin Small Letter G;Letter;Lowercase;Basic Latin;Latin;241616800.0;331530764;573147564.0
21;113;q;Latin Small Letter Q;Letter;Lowercase;Basic Latin;Latin;214232465.0;273722417;487954882.0
22;98;b;Latin Small Letter B;Letter;Lowercase;Basic Latin;Latin;206877627.0;270870899;477748526.0
23;48;0;Digit Zero;Number;Decimal Digit;Basic Latin;Latin;205955236.0;204848123;410803359.0
24;104;h;Latin Small Letter H;Letter;Lowercase;Basic Latin;Latin;190719384.0;264912292;455631676.0
25;49;1;Digit One;Number;Decimal Digit;Basic Latin;Latin;182666843.0;195074618;377741461.0
26;50;2;Digit Two;Number;Decimal Digit;Basic Latin;Latin;150499363.0;149688685;300188048.0
27;224;à;Latin Small Letter A With Grave;Letter;Lowercase;Latin-1 Supplement;Latin;138149292.0;166527592;304676884.0
28;106;j;Latin Small Letter J;Letter;Lowercase;Basic Latin;Latin;102077675.0;106418403;208496078.0
29;45;-;Hyphen-Minus;Punctuation;Dash;Basic Latin;Latin;100123941.0;120969288;221093229.0
30;120;x;Latin Small Letter X;Letter;Lowercase;Basic Latin;Latin;98111303.0;131298644;229409947.0
31;76;L;Latin Capital Letter L;Letter;Uppercase;Basic Latin;Latin;93223079.0;131488829;224711908.0
32;32; ;Space;Separator;Space;Basic Latin;Latin;88497295.0;102875898;191373193.0
33;67;C;Latin Capital Letter C;Letter;Uppercase;Basic Latin;Latin;80895818.0;105581960;186477778.0
34;58;:;Colon;Punctuation;Other;Basic Latin;Latin;80872165.0;71707754;152579919.0
35;65;A;Latin Capital Letter A;Letter;Uppercase;Basic Latin;Latin;79639657.0;96460359;176100016.0
36;232;è;Latin Small Letter E With Grave;Letter;Lowercase;Latin-1 Supplement;Latin;76517563.0;107998572;184516135.0
37;80;P;Latin Capital Letter P;Letter;Uppercase;Basic Latin;Latin;75598960.0;89818584;165417544.0
38;121;y;Latin Small Letter Y;Letter;Lowercase;Basic Latin;Latin;72069844.0;100245208;172315052.0
39;69;E;Latin Capital Letter E;Letter;Uppercase;Basic Latin;Latin;70654481.0;82617631;153272112.0
40;51;3;Digit Three;Number;Decimal Digit;Basic Latin;Latin;63230854.0;63660000;126890854.0
41;53;5;Digit Five;Number;Decimal Digit;Basic Latin;Latin;61972835.0;63842287;125815122.0
42;83;S;Latin Capital Letter S;Letter;Uppercase;Basic Latin;Latin;61400653.0;79951192;141351845.0
43;77;M;Latin Capital Letter M;Letter;Uppercase;Basic Latin;Latin;58859086.0;73963560;132822646.0
44;52;4;Digit Four;Number;Decimal Digit;Basic Latin;Latin;54343276.0;55813414;110156690.0
45;47;/;Solidus;Punctuation;Other;Basic Latin;Latin;50243960.0;42183165;92427125.0
46;57;9;Digit Nine;Number;Decimal Digit;Basic Latin;Latin;49682553.0;65585925;115268478.0
47;34;"""";Quotation Mark;Punctuation;Other;Basic Latin;Latin;47363272.0;58415460;105778732.0
