;Code;Char;Name;Category;Subcategory;Block;CountBusiness;CountWikipedia;Count
0;101;e;Latin Small Letter E;Letter;Lowercase;Basic Latin;3503991609.0;4595436503.0;8099428112.0
1;115;s;Latin Small Letter S;Letter;Lowercase;Basic Latin;1960553839.0;2534104578.0;4494658417.0
2;97;a;Latin Small Letter A;Letter;Lowercase;Basic Latin;1865589657.0;2447239041.0;4312828698.0
3;110;n;Latin Small Letter N;Letter;Lowercase;Basic Latin;1819350089.0;2388608940.0;4207959029.0
5;105;i;Latin Small Letter I;Letter;Lowercase;Basic Latin;1766426634.0;2331461272.0;4097887906.0
4;114;r;Latin Small Letter R;Letter;Lowercase;Basic Latin;1751622321.0;2277707297.0;4029329618.0
6;116;t;Latin Small Letter T;Letter;Lowercase;Basic Latin;1664837824.0;2182698024.0;3847535848.0
7;111;o;Latin Small Letter O;Letter;Lowercase;Basic Latin;1404283682.0;1796485782.0;3200769464.0
8;117;u;Latin Small Letter U;Letter;Lowercase;Basic Latin;1380239580.0;1776301696.0;3156541276.0
9;108;l;Latin Small Letter L;Letter;Lowercase;Basic Latin;1260417343.0;1707291571.0;2967708914.0
10;100;d;Latin Small Letter D;Letter;Lowercase;Basic Latin;958667390.0;1300584622.0;2259252012.0
11;99;c;Latin Small Letter C;Letter;Lowercase;Basic Latin;823976945.0;1059008399.0;1882985344.0
12;112;p;Latin Small Letter P;Letter;Lowercase;Basic Latin;721826380.0;920079736.0;1641906116.0
13;109;m;Latin Small Letter M;Letter;Lowercase;Basic Latin;656029771.0;844868883.0;1500898654.0
14;233;é;Latin Small Letter E With Acute;Letter;Lowercase;Latin-1 Supplement;585472106.0;784469938.0;1369942044.0
15;118;v;Latin Small Letter V;Letter;Lowercase;Basic Latin;348247395.0;426529447.0;774776842.0
16;44;,;Comma;Punctuation;Other;Basic Latin;286104369.0;406436256.0;692540625.0
19;102;f;Latin Small Letter F;Letter;Lowercase;Basic Latin;265931998.0;342919015.0;608851013.0
17;46;.;Full Stop;Punctuation;Other;Basic Latin;269969312.0;329498070.0;599467382.0
20;103;g;Latin Small Letter G;Letter;Lowercase;Basic Latin;241603553.0;331505131.0;573108684.0
22;39;';Apostrophe;Punctuation;Other;Basic Latin;225864192.0;293513543.0;519377735.0
24;113;q;Latin Small Letter Q;Letter;Lowercase;Basic Latin;214231255.0;273720657.0;487951912.0
25;98;b;Latin Small Letter B;Letter;Lowercase;Basic Latin;206870057.0;270801011.0;477671068.0
