Code;Char;CharName;NormString;Layout
8253;‽;Interrobang;?!;
8265;⁉;Exclamation Question Mark;!?;
8448;℀;Account Of;a/c;
8449;℁;Addressed To The Subject;a/s;
8450;ℂ;Double-Struck Capital C;C;Double-Struck
8451;℃;Degree Celsius;°C;Unit
8453;℅;Care Of;c/o;
8454;℆;Cada Una;c/u;
8457;℉;Degree Fahrenheit;°F;Unit
8458;ℊ;Script Small G;g;Script
8459;ℋ;Script Capital H;H;Script
8460;ℌ;Black-Letter Capital H;H;Black-Letter
8461;ℍ;Double-Struck Capital H;H;Double-Struck
8464;ℐ;Script Capital I;I;Script
8465;ℑ;Black-Letter Capital I;I;Black-Letter
8466;ℒ;Script Capital L;L;Script
8467;ℓ;Script Small L;l;Script
8469;ℕ;Double-Struck Capital N;N;Double-Struck
8470;№;Numero Sign;N°;
8472;℘;Script Capital P;P;Script
8473;ℙ;Double-Struck Capital P;P;Double-Struck
8474;ℚ;Double-Struck Capital Q;Q;Double-Struck
8475;ℛ;Script Capital R;R;Script
8476;ℜ;Black-Letter Capital R;R;Black-Letter
8477;ℝ;Double-Struck Capital R;R;Double-Struck
8481;℡;Telephone Sign;TEL;
8484;ℤ;Double-Struck Capital Z;Z;Double-Struck
8488;ℨ;Black-Letter Capital Z;Z;Black-Letter
8490;K;Kelvin Sign;K;Unit
8491;Å;Angstrom Sign;Å;Unit
8492;ℬ;Script Capital B;B;Script
8493;ℭ;Black-Letter Capital C;C;Black-Letter
8495;ℯ;Script Small E;e;Script
8496;ℰ;Script Capital E;E;Script
8497;ℱ;Script Capital F;F;Script
8498;Ⅎ;Turned Capital F;F;Turned
8499;ℳ;Script Capital M;M;Script
8500;ℴ;Script Small O;o;Script
8506;℺;Rotated Capital Q;Q;Rotated
8507;℻;Facsimile Sign;FAX;
8508;ℼ;Double-Struck Small Pi;π;Double-Struck
8513;⅁;Turned Sans-Serif Capital G;G;Turned Sans-Serif
8514;⅂;Turned Sans-Serif Capital L;L;Turned Sans-Serif
8515;⅃;Reversed Sans-Serif Capital L;L;Reversed Sans-Serif
8516;⅄;Turned Sans-Serif Capital Y;Y;Turned Sans-Serif
8517;ⅅ;Double-Struck Italic Capital D;D;Double-Struck Italic
8518;ⅆ;Double-Struck Italic Small D;d;Double-Struck Italic
8519;ⅇ;Double-Struck Italic Small E;e;Double-Struck Italic
8520;ⅈ;Double-Struck Italic Small I;i;Double-Struck Italic
8521;ⅉ;Double-Struck Italic Small J;j;Double-Struck Italic
8523;⅋;Turned Ampersand;&;Turned
8525;⅍;Aktieselskab;A/S;
8526;ⅎ;Turned Small F;f;Turned
9372;⒜;Parenthesized Latin Small Letter A;(a);Parenthesized
9373;⒝;Parenthesized Latin Small Letter B;(b);Parenthesized
9374;⒞;Parenthesized Latin Small Letter C;(c);Parenthesized
9375;⒟;Parenthesized Latin Small Letter D;(d);Parenthesized
9376;⒠;Parenthesized Latin Small Letter E;(e);Parenthesized
9377;⒡;Parenthesized Latin Small Letter F;(f);Parenthesized
9378;⒢;Parenthesized Latin Small Letter G;(g);Parenthesized
9379;⒣;Parenthesized Latin Small Letter H;(h);Parenthesized
9380;⒤;Parenthesized Latin Small Letter I;(i);Parenthesized
9381;⒥;Parenthesized Latin Small Letter J;(j);Parenthesized
9382;⒦;Parenthesized Latin Small Letter K;(k);Parenthesized
9383;⒧;Parenthesized Latin Small Letter L;(l);Parenthesized
9384;⒨;Parenthesized Latin Small Letter M;(m);Parenthesized
9385;⒩;Parenthesized Latin Small Letter N;(n);Parenthesized
9386;⒪;Parenthesized Latin Small Letter O;(o);Parenthesized
9387;⒫;Parenthesized Latin Small Letter P;(p);Parenthesized
9388;⒬;Parenthesized Latin Small Letter Q;(q);Parenthesized
9389;⒭;Parenthesized Latin Small Letter R;(r);Parenthesized
9390;⒮;Parenthesized Latin Small Letter S;(s);Parenthesized
9391;⒯;Parenthesized Latin Small Letter T;(t);Parenthesized
9392;⒰;Parenthesized Latin Small Letter U;(u);Parenthesized
9393;⒱;Parenthesized Latin Small Letter V;(v);Parenthesized
9394;⒲;Parenthesized Latin Small Letter W;(w);Parenthesized
9395;⒳;Parenthesized Latin Small Letter X;(x);Parenthesized
9396;⒴;Parenthesized Latin Small Letter Y;(y);Parenthesized
9397;⒵;Parenthesized Latin Small Letter Z;(z);Parenthesized
9398;Ⓐ;Circled Latin Capital Letter A;(A);Circled
9399;Ⓑ;Circled Latin Capital Letter B;(B);Circled
9400;Ⓒ;Circled Latin Capital Letter C;(C);Circled
9401;Ⓓ;Circled Latin Capital Letter D;(D);Circled
9402;Ⓔ;Circled Latin Capital Letter E;(E);Circled
9403;Ⓕ;Circled Latin Capital Letter F;(F);Circled
9404;Ⓖ;Circled Latin Capital Letter G;(G);Circled
9405;Ⓗ;Circled Latin Capital Letter H;(H);Circled
9406;Ⓘ;Circled Latin Capital Letter I;(I);Circled
9407;Ⓙ;Circled Latin Capital Letter J;(J);Circled
9408;Ⓚ;Circled Latin Capital Letter K;(K);Circled
9409;Ⓛ;Circled Latin Capital Letter L;(L);Circled
9410;Ⓜ;Circled Latin Capital Letter M;(M);Circled
9411;Ⓝ;Circled Latin Capital Letter N;(N);Circled
9412;Ⓞ;Circled Latin Capital Letter O;(O);Circled
9413;Ⓟ;Circled Latin Capital Letter P;(P);Circled
9414;Ⓠ;Circled Latin Capital Letter Q;(Q);Circled
9415;Ⓡ;Circled Latin Capital Letter R;(R);Circled
9416;Ⓢ;Circled Latin Capital Letter S;(S);Circled
9417;Ⓣ;Circled Latin Capital Letter T;(T);Circled
9418;Ⓤ;Circled Latin Capital Letter U;(U);Circled
9419;Ⓥ;Circled Latin Capital Letter V;(V);Circled
9420;Ⓦ;Circled Latin Capital Letter W;(W);Circled
9421;Ⓧ;Circled Latin Capital Letter X;(X);Circled
9422;Ⓨ;Circled Latin Capital Letter Y;(Y);Circled
9423;Ⓩ;Circled Latin Capital Letter Z;(Z);Circled
9424;ⓐ;Circled Latin Small Letter A;(a);Circled
9425;ⓑ;Circled Latin Small Letter B;(b);Circled
9426;ⓒ;Circled Latin Small Letter C;(c);Circled
9427;ⓓ;Circled Latin Small Letter D;(d);Circled
9428;ⓔ;Circled Latin Small Letter E;(e);Circled
9429;ⓕ;Circled Latin Small Letter F;(f);Circled
9430;ⓖ;Circled Latin Small Letter G;(g);Circled
9431;ⓗ;Circled Latin Small Letter H;(h);Circled
9432;ⓘ;Circled Latin Small Letter I;(i);Circled
9433;ⓙ;Circled Latin Small Letter J;(j);Circled
9434;ⓚ;Circled Latin Small Letter K;(k);Circled
9435;ⓛ;Circled Latin Small Letter L;(l);Circled
9436;ⓜ;Circled Latin Small Letter M;(m);Circled
9437;ⓝ;Circled Latin Small Letter N;(n);Circled
9438;ⓞ;Circled Latin Small Letter O;(o);Circled
9439;ⓟ;Circled Latin Small Letter P;(p);Circled
9440;ⓠ;Circled Latin Small Letter Q;(q);Circled
9441;ⓡ;Circled Latin Small Letter R;(r);Circled
9442;ⓢ;Circled Latin Small Letter S;(s);Circled
9443;ⓣ;Circled Latin Small Letter T;(t);Circled
9444;ⓤ;Circled Latin Small Letter U;(u);Circled
9445;ⓥ;Circled Latin Small Letter V;(v);Circled
9446;ⓦ;Circled Latin Small Letter W;(w);Circled
9447;ⓧ;Circled Latin Small Letter X;(x);Circled
9448;ⓨ;Circled Latin Small Letter Y;(y);Circled
9449;ⓩ;Circled Latin Small Letter Z;(z);Circled
119808;𝐀;Mathematical Bold Capital A;A;Mathematical Bold
119809;𝐁;Mathematical Bold Capital B;B;Mathematical Bold
119810;𝐂;Mathematical Bold Capital C;C;Mathematical Bold
119811;𝐃;Mathematical Bold Capital D;D;Mathematical Bold
119812;𝐄;Mathematical Bold Capital E;E;Mathematical Bold
119813;𝐅;Mathematical Bold Capital F;F;Mathematical Bold
119814;𝐆;Mathematical Bold Capital G;G;Mathematical Bold
119815;𝐇;Mathematical Bold Capital H;H;Mathematical Bold
119816;𝐈;Mathematical Bold Capital I;I;Mathematical Bold
119817;𝐉;Mathematical Bold Capital J;J;Mathematical Bold
119818;𝐊;Mathematical Bold Capital K;K;Mathematical Bold
119819;𝐋;Mathematical Bold Capital L;L;Mathematical Bold
119820;𝐌;Mathematical Bold Capital M;M;Mathematical Bold
119821;𝐍;Mathematical Bold Capital N;N;Mathematical Bold
119822;𝐎;Mathematical Bold Capital O;O;Mathematical Bold
119823;𝐏;Mathematical Bold Capital P;P;Mathematical Bold
119824;𝐐;Mathematical Bold Capital Q;Q;Mathematical Bold
119825;𝐑;Mathematical Bold Capital R;R;Mathematical Bold
119826;𝐒;Mathematical Bold Capital S;S;Mathematical Bold
119827;𝐓;Mathematical Bold Capital T;T;Mathematical Bold
119828;𝐔;Mathematical Bold Capital U;U;Mathematical Bold
119829;𝐕;Mathematical Bold Capital V;V;Mathematical Bold
119830;𝐖;Mathematical Bold Capital W;W;Mathematical Bold
119831;𝐗;Mathematical Bold Capital X;X;Mathematical Bold
119832;𝐘;Mathematical Bold Capital Y;Y;Mathematical Bold
119833;𝐙;Mathematical Bold Capital Z;Z;Mathematical Bold
119834;𝐚;Mathematical Bold Small A;a;Mathematical Bold
119835;𝐛;Mathematical Bold Small B;b;Mathematical Bold
119836;𝐜;Mathematical Bold Small C;c;Mathematical Bold
119837;𝐝;Mathematical Bold Small D;d;Mathematical Bold
119838;𝐞;Mathematical Bold Small E;e;Mathematical Bold
119839;𝐟;Mathematical Bold Small F;f;Mathematical Bold
119840;𝐠;Mathematical Bold Small G;g;Mathematical Bold
119841;𝐡;Mathematical Bold Small H;h;Mathematical Bold
119842;𝐢;Mathematical Bold Small I;i;Mathematical Bold
119843;𝐣;Mathematical Bold Small J;j;Mathematical Bold
119844;𝐤;Mathematical Bold Small K;k;Mathematical Bold
119845;𝐥;Mathematical Bold Small L;l;Mathematical Bold
119846;𝐦;Mathematical Bold Small M;m;Mathematical Bold
119847;𝐧;Mathematical Bold Small N;n;Mathematical Bold
119848;𝐨;Mathematical Bold Small O;o;Mathematical Bold
119849;𝐩;Mathematical Bold Small P;p;Mathematical Bold
119850;𝐪;Mathematical Bold Small Q;q;Mathematical Bold
119851;𝐫;Mathematical Bold Small R;r;Mathematical Bold
119852;𝐬;Mathematical Bold Small S;s;Mathematical Bold
119853;𝐭;Mathematical Bold Small T;t;Mathematical Bold
119854;𝐮;Mathematical Bold Small U;u;Mathematical Bold
119855;𝐯;Mathematical Bold Small V;v;Mathematical Bold
119856;𝐰;Mathematical Bold Small W;w;Mathematical Bold
119857;𝐱;Mathematical Bold Small X;x;Mathematical Bold
119858;𝐲;Mathematical Bold Small Y;y;Mathematical Bold
119859;𝐳;Mathematical Bold Small Z;z;Mathematical Bold
119860;𝐴;Mathematical Italic Capital A;A;Mathematical Italic
119861;𝐵;Mathematical Italic Capital B;B;Mathematical Italic
119862;𝐶;Mathematical Italic Capital C;C;Mathematical Italic
119863;𝐷;Mathematical Italic Capital D;D;Mathematical Italic
119864;𝐸;Mathematical Italic Capital E;E;Mathematical Italic
119865;𝐹;Mathematical Italic Capital F;F;Mathematical Italic
119866;𝐺;Mathematical Italic Capital G;G;Mathematical Italic
119867;𝐻;Mathematical Italic Capital H;H;Mathematical Italic
119868;𝐼;Mathematical Italic Capital I;I;Mathematical Italic
119869;𝐽;Mathematical Italic Capital J;J;Mathematical Italic
119870;𝐾;Mathematical Italic Capital K;K;Mathematical Italic
119871;𝐿;Mathematical Italic Capital L;L;Mathematical Italic
119872;𝑀;Mathematical Italic Capital M;M;Mathematical Italic
119873;𝑁;Mathematical Italic Capital N;N;Mathematical Italic
119874;𝑂;Mathematical Italic Capital O;O;Mathematical Italic
119875;𝑃;Mathematical Italic Capital P;P;Mathematical Italic
119876;𝑄;Mathematical Italic Capital Q;Q;Mathematical Italic
119877;𝑅;Mathematical Italic Capital R;R;Mathematical Italic
119878;𝑆;Mathematical Italic Capital S;S;Mathematical Italic
119879;𝑇;Mathematical Italic Capital T;T;Mathematical Italic
119880;𝑈;Mathematical Italic Capital U;U;Mathematical Italic
119881;𝑉;Mathematical Italic Capital V;V;Mathematical Italic
119882;𝑊;Mathematical Italic Capital W;W;Mathematical Italic
119883;𝑋;Mathematical Italic Capital X;X;Mathematical Italic
119884;𝑌;Mathematical Italic Capital Y;Y;Mathematical Italic
119885;𝑍;Mathematical Italic Capital Z;Z;Mathematical Italic
119886;𝑎;Mathematical Italic Small A;a;Mathematical Italic
119887;𝑏;Mathematical Italic Small B;b;Mathematical Italic
119888;𝑐;Mathematical Italic Small C;c;Mathematical Italic
119889;𝑑;Mathematical Italic Small D;d;Mathematical Italic
119890;𝑒;Mathematical Italic Small E;e;Mathematical Italic
119891;𝑓;Mathematical Italic Small F;f;Mathematical Italic
119892;𝑔;Mathematical Italic Small G;g;Mathematical Italic
119894;𝑖;Mathematical Italic Small I;i;Mathematical Italic
119895;𝑗;Mathematical Italic Small J;j;Mathematical Italic
119896;𝑘;Mathematical Italic Small K;k;Mathematical Italic
119897;𝑙;Mathematical Italic Small L;l;Mathematical Italic
119898;𝑚;Mathematical Italic Small M;m;Mathematical Italic
119899;𝑛;Mathematical Italic Small N;n;Mathematical Italic
119900;𝑜;Mathematical Italic Small O;o;Mathematical Italic
119901;𝑝;Mathematical Italic Small P;p;Mathematical Italic
119902;𝑞;Mathematical Italic Small Q;q;Mathematical Italic
119903;𝑟;Mathematical Italic Small R;r;Mathematical Italic
119904;𝑠;Mathematical Italic Small S;s;Mathematical Italic
119905;𝑡;Mathematical Italic Small T;t;Mathematical Italic
119906;𝑢;Mathematical Italic Small U;u;Mathematical Italic
119907;𝑣;Mathematical Italic Small V;v;Mathematical Italic
119908;𝑤;Mathematical Italic Small W;w;Mathematical Italic
119909;𝑥;Mathematical Italic Small X;x;Mathematical Italic
119910;𝑦;Mathematical Italic Small Y;y;Mathematical Italic
119911;𝑧;Mathematical Italic Small Z;z;Mathematical Italic
119912;𝑨;Mathematical Bold Italic Capital A;A;Mathematical Bold Italic
119913;𝑩;Mathematical Bold Italic Capital B;B;Mathematical Bold Italic
119914;𝑪;Mathematical Bold Italic Capital C;C;Mathematical Bold Italic
119915;𝑫;Mathematical Bold Italic Capital D;D;Mathematical Bold Italic
119916;𝑬;Mathematical Bold Italic Capital E;E;Mathematical Bold Italic
