Dataset;DatasetFile;Website;Url;Scope;UrlsFile;Pages;Words
Assurance;assurance;4;https://www.afer.fr/;domain;afer;148;66498
Assurance;assurance;5;https://www.ag2rlamondiale.fr/;domain;ag2rlamondiale;2683;1030393
Assurance;assurance;6;https://www.agpm.fr/;domain;agpm;267;82637
Assurance;assurance;7;https://www.amaguiz.com/;domain;amaguiz;706;314384
Assurance;assurance;10;https://www.aviva.fr/;domain;aviva;2501;792475
Assurance;assurance;11;https://www.axa.fr/;domain;axa;6619;1710580
Assurance;assurance;30;https://www.cnp.fr/;domain;cnp;912;343260
Assurance;assurance;41;https://www.direct-assurance.fr/;domain;direct-assurance;791;237182
Assurance;assurance;46;https://www.eurofil.com/;domain;eurofil;77;70522
Assurance;assurance;57;http://www.generali.fr/;domain;generali;3410;839852
Assurance;assurance;58;https://www.groupama.fr/;domain;groupama;4585;1158325
Assurance;assurance;70;https://www.lolivier.fr/;domain;lolivier;335;158840
Assurance;assurance;72;https://www.mae.fr/;domain;mae;192;115898
Assurance;assurance;73;http://www.malakoffmederic.com/;domain;malakoffmederic;1078;329352
Assurance;assurance;74;https://www.matmut.fr/;domain;matmut;1151;844243
Assurance;assurance;77;https://www.mma.fr/;domain;mma;1431;1219445
Assurance;assurance;87;https://www.probtp.com/;domain;probtp;835;390793
Assurance;assurance;106;https://www.allianz.fr/;subdomain;allianz;2138;1433010
Assurance;assurance;108;https://www.ameli.fr/;subdomain;ameli;1712;180353
Assurance;assurance;125;https://www.gan.fr/;subdomain;gan;447;234237
Assurance;assurance;138;https://www.maif.fr/;subdomain;maif;1007;708807
Banque;banque;8;https://www.arkea.com/;domain;arkea;340;103780
Banque;banque;12;https://www.banque-edel.fr/;domain;banque-edel;29;10461
Banque;banque;16;https://www.banquepopulaire.fr/;domain;banquepopulaire;4597;1091412
Banque;banque;18;https://www.bforbank.com/;domain;bforbank;2127;1217207
Banque;banque;22;https://www.boursorama-banque.com/;domain;boursorama-banque;14;16234
Banque;banque;24;https://www.bred.fr/;domain;bred;849;195516
Banque;banque;25;https://www.ca-alsace-vosges.fr/;domain;ca-alsace-vosges;747;393241
Banque;banque;29;https://www.cic.fr/;domain;cic;2317;727259
Banque;banque;35;https://compte-nickel.fr/;domain;compte-nickel;192;38958
Banque;banque;36;https://www.credit-cooperatif.coop/;domain;credit-cooperatif;655;154059
Banque;banque;37;https://www.credit-du-nord.fr/;domain;credit-du-nord;545;193504
Banque;banque;38;https://www.creditmutuel.fr/;domain;creditmutuel;2015;938679
Banque;banque;40;https://www.diac.fr/;domain;diac;36;20513
Banque;banque;43;https://eko-by-ca.fr/;domain;eko-by-ca;10;13503
Banque;banque;48;https://www.fortuneo.fr/;domain;fortuneo;1368;737469
Banque;banque;60;https://www.hellobank.fr/;domain;hellobank;4874;1341056
Banque;banque;61;https://www.hsbc.fr/;domain;hsbc;516;315198
Banque;banque;62;https://www.ing.fr/banque-en-ligne/;domain;ing;6793;3468898
Banque;banque;63;https://www.labanquepostale.fr/;domain;labanquepostale;2323;987556
Banque;banque;66;https://www.lcl.fr/;domain;lcl;1793;993588
Banque;banque;71;https://mabanque.bnpparibas/;domain;mabanque-bnpparibas;1229;557161
Banque;banque;79;https://www.monabanq.com/fr/index.html;domain;monabanq;115;63024
Banque;banque;80;https://n26.com/fr-fr/;path;n26;18;10753
Banque;banque;81;https://www.natixis.com/natixis/jcms/j_6/fr/accueil;domain;natixis;1571;845358
