DatasetFile;DownloadUrl;FileSize
assurance;https://onedrive.live.com/download?cid=196F0B5AFCED95CA&resid=196F0B5AFCED95CA%21467812&authkey=AJTsmaNZSXj0QIU;91136056
banque;https://onedrive.live.com/download?cid=196F0B5AFCED95CA&resid=196F0B5AFCED95CA%21467829&authkey=AEpaof8vTItx6Qs;144616048
bourse;https://onedrive.live.com/download?cid=196F0B5AFCED95CA&resid=196F0B5AFCED95CA%21467828&authkey=ALQ2ATVcmzrmfgM;186553136
comparateur;https://onedrive.live.com/download?cid=196F0B5AFCED95CA&resid=196F0B5AFCED95CA%21467826&authkey=AAz-s-om_lHChWg;145062520
crédit;https://onedrive.live.com/download?cid=196F0B5AFCED95CA&resid=196F0B5AFCED95CA%21467825&authkey=AKjCUK3bdbDzsRM;11902488
forum;https://onedrive.live.com/download?cid=196F0B5AFCED95CA&resid=196F0B5AFCED95CA%21467830&authkey=AAYX8HpMGFBQQEM;962874856
institution;https://onedrive.live.com/download?cid=196F0B5AFCED95CA&resid=196F0B5AFCED95CA%21467823&authkey=AFL0UjYK6Anl40Y;31609912
presse-1;https://onedrive.live.com/download?cid=196F0B5AFCED95CA&resid=196F0B5AFCED95CA%21467827&authkey=AKGLNfSmHNhifl0;921930504
presse-2;https://onedrive.live.com/download?cid=196F0B5AFCED95CA&resid=196F0B5AFCED95CA%21467824&authkey=AIHsANb0b7Rh4aM;855158864
presse-3;https://onedrive.live.com/download?cid=196F0B5AFCED95CA&resid=196F0B5AFCED95CA%21467822&authkey=AG7P-cvvUioBSo8;809591952
presse-4;https://onedrive.live.com/download?cid=196F0B5AFCED95CA&resid=196F0B5AFCED95CA%21467819&authkey=AATQWzxBvt506gQ;958970872
presse-5;https://onedrive.live.com/download?cid=196F0B5AFCED95CA&resid=196F0B5AFCED95CA%21467820&authkey=ACSUxvWwFXj6160;1153696120
presse-6;https://onedrive.live.com/download?cid=196F0B5AFCED95CA&resid=196F0B5AFCED95CA%21467821&authkey=AClwL1VC29w72D4;1452331608
siteinfo;https://onedrive.live.com/download?cid=196F0B5AFCED95CA&resid=196F0B5AFCED95CA%21467817&authkey=AAIxLQaiJyI94Z4;543178032
wikipedia-1;https://onedrive.live.com/download?cid=196F0B5AFCED95CA&resid=196F0B5AFCED95CA%21467816&authkey=ANwsHfqogGfCVbc;549966224
wikipedia-2;https://onedrive.live.com/download?cid=196F0B5AFCED95CA&resid=196F0B5AFCED95CA%21467818&authkey=AGAoYmFSv_i_KBo;729072464
wikipedia-3;https://onedrive.live.com/download?cid=196F0B5AFCED95CA&resid=196F0B5AFCED95CA%21467815&authkey=AEVrMK4pX__XJb4;1069759688
wikipedia-4;https://onedrive.live.com/download?cid=196F0B5AFCED95CA&resid=196F0B5AFCED95CA%21467814&authkey=AMbXe-1KFM8S-t8;1086691712
wikipedia-5;https://onedrive.live.com/download?cid=196F0B5AFCED95CA&resid=196F0B5AFCED95CA%21467813&authkey=AI7LoETjrCk9zfg;1083060912
