Website;Url;Scope;ExtractionDir;ExtractionFile;Dataset
1;https://www.10meilleuresbanques.fr/;domain;10meilleuresbanques.fr;10meilleuresbanques;Comparateur
2;https://www.abcbourse.com/;domain;abcbourse.com;abcbourse;Bourse
3;https://acpr.banque-france.fr/;subdomain;acpr.banque-france.fr;acpr-banque-france;Institution
4;https://www.afer.fr/;domain;afer.fr;afer;Assurance
5;https://www.ag2rlamondiale.fr/;domain;ag2rlamondiale.fr;ag2rlamondiale;Assurance
6;https://www.agpm.fr/;domain;agpm.fr;agpm;Assurance
7;https://www.amaguiz.com/;domain;amaguiz.com;amaguiz;Assurance
8;https://www.arkea.com/;domain;arkea.com;arkea;Banque
9;https://www.assurland.com/;domain;assurland.com;assurland;SiteInfo
10;https://www.aviva.fr/;domain;aviva.fr;aviva;Assurance
11;https://www.axa.fr/;domain;axa.fr;axa;Assurance
12;https://www.banque-edel.fr/;domain;banque-edel.fr;banque-edel;Banque
13;https://www.banque-france.fr/;domain;banque-france.fr;banque-france;Institution
14;http://www.banque-info.com/;domain;banque-info.com;banque-info;SiteInfo
15;https://www.banque.fr/;domain;banque.fr;banque-fr;Comparateur
16;https://www.banquepopulaire.fr/;domain;banquepopulaire.fr;banquepopulaire;Banque
17;https://www.banquesenligne.org/;domain;banquesenligne.org;banquesenligne;Comparateur
18;https://www.bforbank.com/;domain;bforbank.com;bforbank;Banque
19;https://www.boursedeparis.fr/;domain;boursedeparis.fr;boursedeparis;Bourse
20;http://www.boursedirect.fr/;domain;boursedirect.fr;boursedirect;Presse
21;https://www.boursier.com/;domain;boursier.com;boursier;Bourse
22;https://www.boursorama-banque.com/;domain;boursorama-banque.com;boursorama-banque;Banque
23;https://www.boursorama.com/;domain;boursorama.com;boursorama;Bourse
24;https://www.bred.fr/;domain;bred.fr;bred;Banque
25;https://www.ca-alsace-vosges.fr/;domain;ca-alsace-vosges.fr;ca-alsace-vosges;Banque
26;http://www.capitaine-epargne.com/;domain;capitaine-epargne.com;capitaine-epargne;Comparateur
27;http://cercledelepargne.com/;domain;cercledelepargne.com;cercledelepargne;SiteInfo
28;https://www.cetelem.fr/;domain;cetelem.fr;cetelem;Crédit
29;https://www.cic.fr/;domain;cic.fr;cic;Banque
30;https://www.cnp.fr/;domain;cnp.fr;cnp;Assurance
31;https://www.cofidis.fr/;domain;cofidis.fr;cofidis;Crédit
32;https://www.cofinoga.fr/;domain;cofinoga.fr;cofinoga;Crédit
33;http://www.comparabanques.fr/;domain;comparabanques.fr;comparabanques;Comparateur
34;http://www.comparalivrets.fr/;domain;comparalivrets.fr;comparalivrets;Comparateur
35;https://compte-nickel.fr/;domain;compte-nickel.fr;compte-nickel;Banque
36;https://www.credit-cooperatif.coop/;domain;credit-cooperatif.coop;credit-cooperatif;Banque
37;https://www.credit-du-nord.fr/;domain;credit-du-nord.fr;credit-du-nord;Banque
38;https://www.creditmutuel.fr/;domain;creditmutuel.fr;creditmutuel;Banque
39;https://www.culturebanque.com/;domain;culturebanque.com;culturebanque;SiteInfo
40;https://www.diac.fr/;domain;diac.fr;diac;Banque
41;https://www.direct-assurance.fr/;domain;direct-assurance.fr;direct-assurance;Assurance
42;https://droit-finances.commentcamarche.com/;subdomain;droit-finances.commentcamarche.com;droit-finances-commentcamarche;Forum
43;https://eko-by-ca.fr/;domain;eko-by-ca.fr;eko-by-ca;Banque
44;https://www.empruntis.com/;domain;empruntis.com;empruntis;Comparateur
45;https://www.en-bourse.fr/;domain;en-bourse.fr;en-bourse;Bourse
46;https://www.eurofil.com/;domain;eurofil.com;eurofil;Assurance
47;https://www.ffa-assurance.fr/;domain;ffa-assurance.fr;ffa-assurance;Institution
48;https://www.fortuneo.fr/;domain;fortuneo.fr;fortuneo;Banque
49;http://forum.doctissimo.fr/famille/argent-budget-famille/liste_sujet-1.htm;path;forum.doctissimo.fr_famille_argent-budget-famille_;forum-doctissimo;Forum
50;http://forum.doctissimo.fr/viepratique/finances/liste_sujet-1.htm;path;forum.doctissimo.fr_viepratique_finances_;forum-doctissimo-2;Forum
51;http://forum.doctissimo.fr/viepratique/Impots/liste_sujet-1.htm;path;forum.doctissimo.fr_viepratique_Impots_;forum-doctissimo-3;Forum
52;https://forum.lesarnaques.com/assurance-automobile/;path;forum.lesarnaques.com_assurance-automobile_;forum-lesarnaques;Forum
53;https://forum.lesarnaques.com/banque/;path;forum.lesarnaques.com_banque_;forum-lesarnaques-2;Forum
54;https://fr.finance.yahoo.com/;subdomain;fr.finance.yahoo.com;fr-finance-yahoo;Bourse
55;https://fr.wikipedia.org/wiki/Finance;subdomain;fr.wikipedia.org;fr-wikipedia;Wikipedia
56;https://www.francetransactions.com/;domain;francetransactions.com;francetransactions;Comparateur
57;http://www.generali.fr/;domain;generali.fr;generali;Assurance
58;https://www.groupama.fr/;domain;groupama.fr;groupama;Assurance
59;http://www.guide-epargne.com/;domain;guide-epargne.com;guide-epargne;SiteInfo
60;https://www.hellobank.fr/;domain;hellobank.fr;hellobank;Banque
61;https://www.hsbc.fr/;domain;hsbc.fr;hsbc;Banque
62;https://www.ing.fr/banque-en-ligne/;domain;ing.fr;ing;Banque
63;https://www.labanquepostale.fr/;domain;labanquepostale.fr;labanquepostale;Banque
64;http://labourseauquotidien.fr/;path;labourseauquotidien.fr_;labourseauquotidien;Presse
65;https://www.latribune.fr/;domain;latribune.fr;latribune;Presse
66;https://www.lcl.fr/;domain;lcl.fr;lcl;Banque
67;https://www.lelynx.fr/;domain;lelynx.fr;lelynx;Comparateur
68;https://www.lesclesdelabanque.com/Web/Cdb/Particuliers/Content.nsf/List_HTML_Lexique?ReadForm&Count=-1&VirtualCategory=6TECRZ;domain;lesclesdelabanque.com;lesclesdelabanque;SiteInfo
69;https://www.lesfurets.com/;domain;lesfurets.com;lesfurets;Comparateur
70;https://www.lolivier.fr/;domain;lolivier.fr;lolivier;Assurance
71;https://mabanque.bnpparibas/;domain;mabanque.bnpparibas;mabanque-bnpparibas;Banque
72;https://www.mae.fr/;domain;mae.fr;mae;Assurance
73;http://www.malakoffmederic.com/;domain;malakoffmederic.com;malakoffmederic;Assurance
74;https://www.matmut.fr/;domain;matmut.fr;matmut;Assurance
75;https://banque.meilleurtaux.com/;domain;meilleurtaux.com;banque-meilleurtaux;Comparateur
76;https://mes-placements.fr/;domain;mes-placements.fr;mes-placements;Comparateur
77;https://www.mma.fr/;domain;mma.fr;mma;Assurance
78;https://www.mon-epargne.com/;domain;mon-epargne.com;mon-epargne;SiteInfo
79;https://www.monabanq.com/fr/index.html;domain;monabanq.com;monabanq;Banque
80;https://n26.com/fr-fr/;path;n26.com_fr-fr_;n26;Banque
81;https://www.natixis.com/natixis/jcms/j_6/fr/accueil;domain;natixis.com;natixis;Banque
82;https://www.oney.fr/;domain;oney.fr;oney;Banque
83;https://epargne.ooreka.fr/;domain;ooreka.fr;epargne-ooreka;SiteInfo
84;https://www.orangebank.fr/;domain;orangebank.fr;orangebank;Banque
85;https://www.palatine.fr/;domain;palatine.fr;palatine;Banque
86;https://www.panorabanques.com/;domain;panorabanques.com;panorabanques;Comparateur
87;https://www.probtp.com/;domain;probtp.com;probtp;Assurance
88;https://www.psabanque.fr/;domain;psabanque.fr;psabanque;Banque
89;https://www.quechoisir.org/thematique-banque-credit-t111/;domain;quechoisir.org;quechoisir;SiteInfo
90;http://www.retraiteepargne.fr/;domain;retraiteepargne.fr;retraiteepargne;SiteInfo
91;http://www.revue-banque.fr/;domain;revue-banque.fr;revue-banque;Presse
92;https://www.smc.fr/;domain;smc.fr;smc;Banque
93;https://www.societegenerale.fr/;domain;societegenerale.fr;societegenerale;Banque
94;https://www.sofinco.fr/;domain;sofinco.fr;sofinco;Crédit
95;https://www.strategie-bourse.com/;domain;strategie-bourse.com;strategie-bourse;Bourse
96;https://www.toutsurmesfinances.com/;domain;toutsurmesfinances.com;toutsurmesfinances;SiteInfo
97;https://www.tradingsat.com/;domain;tradingsat.com;tradingsat;Bourse
98;https://www.usine-digitale.fr/banque/;domain;usine-digitale.fr;usine-digitale;Presse
99;https://dumps.wikimedia.org/frwiki/latest/100000;path;wikipedia-100000;dumps-wikimedia;Wikipedia
100;https://dumps.wikimedia.org/frwiki/latest/200000;path;wikipedia-200000;dumps-wikimedia-2;Wikipedia
101;https://dumps.wikimedia.org/frwiki/latest/300000;path;wikipedia-300000;dumps-wikimedia-3;Wikipedia
102;https://dumps.wikimedia.org/frwiki/latest/400000;path;wikipedia-400000;dumps-wikimedia-4;Wikipedia
103;https://dumps.wikimedia.org/frwiki/latest/500000;path;wikipedia-500000;dumps-wikimedia-5;Wikipedia
104;https://dumps.wikimedia.org/frwiki/latest/515431;path;wikipedia-515431;dumps-wikimedia-6;Wikipedia
105;https://www.60millions-mag.com/forum/;path;www.60millions-mag.com_forum_;60millions-mag;Forum
106;https://www.allianz.fr/;subdomain;www.allianz.fr;allianz;Assurance
107;https://www.allianzbanque.fr/a/z/b/jm_6268/fr/navigations;subdomain;www.allianzbanque.fr;allianzbanque;Banque
108;https://www.ameli.fr/;subdomain;www.ameli.fr;ameli;Assurance
109;https://www.amundi.fr/fr_part;path;www.amundi.fr_fr_part;amundi;Bourse
110;http://www.assurances.com/;path;www.assurances.com_;assurances;SiteInfo
111;http://www.banque.org/;path;www.banque.org_;banque-org;SiteInfo
112;https://www.boursorama.com/patrimoine/forum/;path;www.boursorama.com_patrimoine_forum_;boursorama-forum;Forum
113;https://www.caisse-epargne.fr/;subdomain;www.caisse-epargne.fr;caisse-epargne;Banque
114;https://www.cbanque.com/;subdomain;www.cbanque.com;cbanque;SiteInfo
115;https://www.cbanque.com/forums/;path;www.cbanque.com_forums_;cbanque-forum;Forum
116;https://www.challenges.fr/tag_theme/banque_876/;subdomain;www.challenges.fr;challenges;Presse
117;https://www.challenges.fr/tag_theme/banque_876/100000;subdomain;www.challenges.fr-100000;challenges-2;Presse
118;https://www.challenges.fr/tag_theme/banque_876/200000;subdomain;www.challenges.fr-200000;challenges-3;Presse
119;https://www.challenges.fr/tag_theme/banque_876/300000;subdomain;www.challenges.fr-300000;challenges-4;Presse
120;https://www.challenges.fr/tag_theme/banque_876/400000;subdomain;www.challenges.fr-400000;challenges-5;Presse
121;https://www.credit-agricole.fr/;subdomain;www.credit-agricole.fr;credit-agricole;Banque
122;https://www.credit-et-banque.com/;subdomain;www.credit-et-banque.com;credit-et-banque;SiteInfo
123;https://www.creditfoncier.fr/;subdomain;www.creditfoncier.fr;creditfoncier;Banque
124;https://www.economie.gouv.fr/;subdomain;www.economie.gouv.fr;economie-gouv;Institution
125;https://www.gan.fr/;subdomain;www.gan.fr;gan;Assurance
126;https://www.impots.gouv.fr/portail/;subdomain;www.impots.gouv.fr;impots-gouv;Institution
127;http://www.lefigaro.fr/economie;subdomain;www.lefigaro.fr;lefigaro;Presse
