BaseChar;Code;Char;Diacritic;CombinedChar
A;769;́;Acute;Á
E;769;́;Acute;É
I;769;́;Acute;Í
O;769;́;Acute;Ó
U;769;́;Acute;Ú
Y;769;́;Acute;Ý
a;769;́;Acute;á
e;769;́;Acute;é
i;769;́;Acute;í
o;769;́;Acute;ó
u;769;́;Acute;ú
y;769;́;Acute;ý
C;769;́;Acute;Ć
c;769;́;Acute;ć
L;769;́;Acute;Ĺ
l;769;́;Acute;ĺ
N;769;́;Acute;Ń
n;769;́;Acute;ń
R;769;́;Acute;Ŕ
r;769;́;Acute;ŕ
S;769;́;Acute;Ś
s;769;́;Acute;ś
Z;769;́;Acute;Ź
z;769;́;Acute;ź
G;769;́;Acute;Ǵ
g;769;́;Acute;ǵ
Æ;769;́;Acute;Ǽ
æ;769;́;Acute;ǽ
K;769;́;Acute;Ḱ
k;769;́;Acute;ḱ
M;769;́;Acute;Ḿ
m;769;́;Acute;ḿ
P;769;́;Acute;Ṕ
p;769;́;Acute;ṕ
W;769;́;Acute;Ẃ
w;769;́;Acute;ẃ
A;768;̀;Grave;À
E;768;̀;Grave;È
I;768;̀;Grave;Ì
O;768;̀;Grave;Ò
U;768;̀;Grave;Ù
a;768;̀;Grave;à
e;768;̀;Grave;è
i;768;̀;Grave;ì
o;768;̀;Grave;ò
u;768;̀;Grave;ù
N;768;̀;Grave;Ǹ
n;768;̀;Grave;ǹ
W;768;̀;Grave;Ẁ
w;768;̀;Grave;ẁ
Y;768;̀;Grave;Ỳ
y;768;̀;Grave;ỳ
A;770;̂;Circumflex;Â
E;770;̂;Circumflex;Ê
I;770;̂;Circumflex;Î
O;770;̂;Circumflex;Ô
U;770;̂;Circumflex;Û
a;770;̂;Circumflex;â
e;770;̂;Circumflex;ê
i;770;̂;Circumflex;î
o;770;̂;Circumflex;ô
u;770;̂;Circumflex;û
C;770;̂;Circumflex;Ĉ
c;770;̂;Circumflex;ĉ
G;770;̂;Circumflex;Ĝ
g;770;̂;Circumflex;ĝ
H;770;̂;Circumflex;Ĥ
h;770;̂;Circumflex;ĥ
J;770;̂;Circumflex;Ĵ
j;770;̂;Circumflex;ĵ
S;770;̂;Circumflex;Ŝ
s;770;̂;Circumflex;ŝ
W;770;̂;Circumflex;Ŵ
w;770;̂;Circumflex;ŵ
Y;770;̂;Circumflex;Ŷ
y;770;̂;Circumflex;ŷ
Z;770;̂;Circumflex;Ẑ
z;770;̂;Circumflex;ẑ
C;807;̧;Cedilla;Ç
c;807;̧;Cedilla;ç
G;807;̧;Cedilla;Ģ
g;807;̧;Cedilla;ģ
K;807;̧;Cedilla;Ķ
k;807;̧;Cedilla;ķ
L;807;̧;Cedilla;Ļ
l;807;̧;Cedilla;ļ
N;807;̧;Cedilla;Ņ
n;807;̧;Cedilla;ņ
R;807;̧;Cedilla;Ŗ
r;807;̧;Cedilla;ŗ
S;807;̧;Cedilla;Ş
s;807;̧;Cedilla;ş
T;807;̧;Cedilla;Ţ
t;807;̧;Cedilla;ţ
E;807;̧;Cedilla;Ȩ
e;807;̧;Cedilla;ȩ
D;807;̧;Cedilla;Ḑ
d;807;̧;Cedilla;ḑ
H;807;̧;Cedilla;Ḩ
h;807;̧;Cedilla;ḩ
A;771;̃;Tilde;Ã
N;771;̃;Tilde;Ñ
O;771;̃;Tilde;Õ
a;771;̃;Tilde;ã
n;771;̃;Tilde;ñ
