Code;Char;CharName;NormString;Layout
48;0;Digit Zero;0;Digit
49;1;Digit One;1;Digit
50;2;Digit Two;2;Digit
51;3;Digit Three;3;Digit
52;4;Digit Four;4;Digit
53;5;Digit Five;5;Digit
54;6;Digit Six;6;Digit
55;7;Digit Seven;7;Digit
56;8;Digit Eight;8;Digit
57;9;Digit Nine;9;Digit
178;²;Superscript Two;(2);Superscript
179;³;Superscript Three;(3);Superscript
185;¹;Superscript One;(1);Superscript
188;¼;Vulgar Fraction One Quarter;1/4;Vulgar Fraction
189;½;Vulgar Fraction One Half;1/2;Vulgar Fraction
190;¾;Vulgar Fraction Three Quarters;3/4;Vulgar Fraction
8304;⁰;Superscript Zero;(0);Superscript
8308;⁴;Superscript Four;(4);Superscript
8309;⁵;Superscript Five;(5);Superscript
8310;⁶;Superscript Six;(6);Superscript
8311;⁷;Superscript Seven;(7);Superscript
8312;⁸;Superscript Eight;(8);Superscript
8313;⁹;Superscript Nine;(9);Superscript
8320;₀;Subscript Zero;(0);Subscript
8321;₁;Subscript One;(1);Subscript
8322;₂;Subscript Two;(2);Subscript
8323;₃;Subscript Three;(3);Subscript
8324;₄;Subscript Four;(4);Subscript
8325;₅;Subscript Five;(5);Subscript
8326;₆;Subscript Six;(6);Subscript
8327;₇;Subscript Seven;(7);Subscript
8328;₈;Subscript Eight;(8);Subscript
8329;₉;Subscript Nine;(9);Subscript
8528;⅐;Vulgar Fraction One Seventh;1/7;Vulgar Fraction
8529;⅑;Vulgar Fraction One Ninth;1/9;Vulgar Fraction
8530;⅒;Vulgar Fraction One Tenth;1/10;Vulgar Fraction
8531;⅓;Vulgar Fraction One Third;1/3;Vulgar Fraction
8532;⅔;Vulgar Fraction Two Thirds;2/3;Vulgar Fraction
8533;⅕;Vulgar Fraction One Fifth;1/5;Vulgar Fraction
8534;⅖;Vulgar Fraction Two Fifths;2/5;Vulgar Fraction
8535;⅗;Vulgar Fraction Three Fifths;3/5;Vulgar Fraction
8536;⅘;Vulgar Fraction Four Fifths;4/5;Vulgar Fraction
8537;⅙;Vulgar Fraction One Sixth;1/6;Vulgar Fraction
8538;⅚;Vulgar Fraction Five Sixths;5/6;Vulgar Fraction
8539;⅛;Vulgar Fraction One Eighth;1/8;Vulgar Fraction
8540;⅜;Vulgar Fraction Three Eighths;3/8;Vulgar Fraction
8541;⅝;Vulgar Fraction Five Eighths;5/8;Vulgar Fraction
8542;⅞;Vulgar Fraction Seven Eighths;7/8;Vulgar Fraction
8544;Ⅰ;Roman Numeral One;+1;Roman Numeral
8545;Ⅱ;Roman Numeral Two;+2;Roman Numeral
8546;Ⅲ;Roman Numeral Three;+3;Roman Numeral
8547;Ⅳ;Roman Numeral Four;+4;Roman Numeral
8548;Ⅴ;Roman Numeral Five;+5;Roman Numeral
8549;Ⅵ;Roman Numeral Six;+6;Roman Numeral
8550;Ⅶ;Roman Numeral Seven;+7;Roman Numeral
8551;Ⅷ;Roman Numeral Eight;+8;Roman Numeral
8552;Ⅸ;Roman Numeral Nine;+9;Roman Numeral
8553;Ⅹ;Roman Numeral Ten;+10;Roman Numeral
8554;Ⅺ;Roman Numeral Eleven;+11;Roman Numeral
8555;Ⅻ;Roman Numeral Twelve;+12;Roman Numeral
8556;Ⅼ;Roman Numeral Fifty;+50;Roman Numeral
8557;Ⅽ;Roman Numeral One Hundred;+100;Roman Numeral
8558;Ⅾ;Roman Numeral Five Hundred;+500;Roman Numeral
8559;Ⅿ;Roman Numeral One Thousand;+1000;Roman Numeral
8560;ⅰ;Small Roman Numeral One;+1;Small Roman Numeral
8561;ⅱ;Small Roman Numeral Two;+2;Small Roman Numeral
8562;ⅲ;Small Roman Numeral Three;+3;Small Roman Numeral
8563;ⅳ;Small Roman Numeral Four;+4;Small Roman Numeral
8564;ⅴ;Small Roman Numeral Five;+5;Small Roman Numeral
8565;ⅵ;Small Roman Numeral Six;+6;Small Roman Numeral
8566;ⅶ;Small Roman Numeral Seven;+7;Small Roman Numeral
8567;ⅷ;Small Roman Numeral Eight;+8;Small Roman Numeral
8568;ⅸ;Small Roman Numeral Nine;+9;Small Roman Numeral
8569;ⅹ;Small Roman Numeral Ten;+10;Small Roman Numeral
8570;ⅺ;Small Roman Numeral Eleven;+11;Small Roman Numeral
8571;ⅻ;Small Roman Numeral Twelve;+12;Small Roman Numeral
8572;ⅼ;Small Roman Numeral Fifty;+50;Small Roman Numeral
8573;ⅽ;Small Roman Numeral One Hundred;+100;Small Roman Numeral
8574;ⅾ;Small Roman Numeral Five Hundred;+500;Small Roman Numeral
8575;ⅿ;Small Roman Numeral One Thousand;+1000;Small Roman Numeral
9312;①;Circled Digit One;(1);Circled
9313;②;Circled Digit Two;(2);Circled
9314;③;Circled Digit Three;(3);Circled
9315;④;Circled Digit Four;(4);Circled
9316;⑤;Circled Digit Five;(5);Circled
9317;⑥;Circled Digit Six;(6);Circled
9318;⑦;Circled Digit Seven;(7);Circled
9319;⑧;Circled Digit Eight;(8);Circled
9320;⑨;Circled Digit Nine;(9);Circled
9321;⑩;Circled Number Ten;(10);Circled
9322;⑪;Circled Number Eleven;(11);Circled
9323;⑫;Circled Number Twelve;(12);Circled
9324;⑬;Circled Number Thirteen;(13);Circled
9325;⑭;Circled Number Fourteen;(14);Circled
9326;⑮;Circled Number Fifteen;(15);Circled
9327;⑯;Circled Number Sixteen;(16);Circled
9328;⑰;Circled Number Seventeen;(17);Circled
9329;⑱;Circled Number Eighteen;(18);Circled
9330;⑲;Circled Number Nineteen;(19);Circled
9331;⑳;Circled Number Twenty;(20);Circled
9332;⑴;Parenthesized Digit One;(1);Parenthesized
9333;⑵;Parenthesized Digit Two;(2);Parenthesized
9334;⑶;Parenthesized Digit Three;(3);Parenthesized
9335;⑷;Parenthesized Digit Four;(4);Parenthesized
9336;⑸;Parenthesized Digit Five;(5);Parenthesized
9337;⑹;Parenthesized Digit Six;(6);Parenthesized
9338;⑺;Parenthesized Digit Seven;(7);Parenthesized
9339;⑻;Parenthesized Digit Eight;(8);Parenthesized
9340;⑼;Parenthesized Digit Nine;(9);Parenthesized
9341;⑽;Parenthesized Number Ten;(10);Parenthesized
9342;⑾;Parenthesized Number Eleven;(11);Parenthesized
9343;⑿;Parenthesized Number Twelve;(12);Parenthesized
9344;⒀;Parenthesized Number Thirteen;(13);Parenthesized
9345;⒁;Parenthesized Number Fourteen;(14);Parenthesized
9346;⒂;Parenthesized Number Fifteen;(15);Parenthesized
9347;⒃;Parenthesized Number Sixteen;(16);Parenthesized
9348;⒄;Parenthesized Number Seventeen;(17);Parenthesized
9349;⒅;Parenthesized Number Eighteen;(18);Parenthesized
9350;⒆;Parenthesized Number Nineteen;(19);Parenthesized
9351;⒇;Parenthesized Number Twenty;(20);Parenthesized
9352;⒈;Digit One Full Stop;1.; Full Stop
9353;⒉;Digit Two Full Stop;2.; Full Stop
9354;⒊;Digit Three Full Stop;3.; Full Stop
9355;⒋;Digit Four Full Stop;4.; Full Stop
9356;⒌;Digit Five Full Stop;5.; Full Stop
9357;⒍;Digit Six Full Stop;6.; Full Stop
9358;⒎;Digit Seven Full Stop;7.; Full Stop
9359;⒏;Digit Eight Full Stop;8.; Full Stop
9360;⒐;Digit Nine Full Stop;9.; Full Stop
9361;⒑;Number Ten Full Stop;10.; Full Stop
9362;⒒;Number Eleven Full Stop;11.; Full Stop
9363;⒓;Number Twelve Full Stop;12.; Full Stop
9364;⒔;Number Thirteen Full Stop;13.; Full Stop
9365;⒕;Number Fourteen Full Stop;14.; Full Stop
9366;⒖;Number Fifteen Full Stop;15.; Full Stop
9367;⒗;Number Sixteen Full Stop;16.; Full Stop
9368;⒘;Number Seventeen Full Stop;17.; Full Stop
9369;⒙;Number Eighteen Full Stop;18.; Full Stop
9370;⒚;Number Nineteen Full Stop;19.; Full Stop
9371;⒛;Number Twenty Full Stop;20.; Full Stop
9450;⓪;Circled Digit Zero;(0);Circled
9451;⓫;Negative Circled Number Eleven;(11);Negative Circled
9452;⓬;Negative Circled Number Twelve;(12);Negative Circled
