CharFamily,assurance,banque,bourse,comparateur,crédit,forum,institution,presse-1,presse-2,presse-3,presse-4,presse-5,presse-6,siteinfo,wikipedia-1,wikipedia-2,wikipedia-3,wikipedia-4,wikipedia-5,Count,CountBusiness,CountForum,CountPresse,CountWikipedia,FreqBusiness,FreqForum,FreqPresse,FreqWikipedia
ChineseJapaneseKorean,0,31,25,0,0,348,0,195,5,41,1448,1446,554,27,30042,23426,24564,30859,35950,148961,83,348,3689,144841,0.01245634702824056,0.17712690377344986,0.19467694274997135,4.059172565613169
Arabic,0,58,8,2,0,52,0,64,13,248,2675,5295,427,14,40512,24866,12665,22605,11399,120903,82,52,8722,112047,0.012306270558020794,0.026467238494883315,0.4602798304866495,3.1401199139695164
Cyrillic,0,22,36,0,0,321,6,283,0,479,2118,1523,91,105,33877,25080,12028,19861,20446,116276,163,327,4494,111292,0.024462464645821823,0.16643821130436237,0.23715862854930095,3.118961020513672
Greek,2,2,13,2,0,45,0,103,13,42,277,81,78,88,21912,19767,14565,15117,15133,87240,107,45,594,86494,0.016058182313514937,0.022904341005187484,0.03134673461466061,2.4239964643308554
Hebrew,0,0,0,0,0,0,0,1,0,26,601,2826,50,1,12516,6170,5931,8116,7665,43903,1,0,3504,40398,0.00015007647021976578,0.0,0.18491407085819994,1.132154937522116
Other,0,0,0,1,0,57,0,6,0,6,54,10,1,4,8398,6290,4392,5007,4490,28716,5,57,77,28577,0.0007503823510988289,0.029012165273237477,0.004063465598196745,0.8008711235598175
Indian,0,0,5,0,0,74,0,448,0,0,70,100,16,0,10531,5610,3164,3439,3588,27045,5,74,634,26332,0.0007503823510988289,0.03766491631964164,0.03345762583450307,0.7379549436811812
Phonetic,2,3,0,1,0,3,0,2,0,4,22,3,0,10,4216,3041,992,1130,1275,10704,16,3,31,10654,0.0024012235235162526,0.001526956067012499,0.0016359406953779104,0.29857861043518547
Latin,0,15,17,0,1,12,0,8,1,45,61,11,12,57,1472,2021,1771,1600,2748,9852,90,12,138,9612,0.01350688231977892,0.006107824268049996,0.007282574708456504,0.26937653496367586
Math,1,3,0,5,0,1,0,2,0,2,4,0,2,3,3427,2994,754,455,959,8612,12,1,10,8589,0.0018009176426371893,0.000508985355670833,0.0005277228049606163,0.240706934956618
LaoThai,0,0,0,0,0,2,0,0,0,0,16,607,6,0,1727,1045,814,2448,1740,8405,0,2,629,7774,0.0,0.001017970711341666,0.033193764432022765,0.2178665400340841
Armenian,0,0,7,0,0,0,0,0,0,0,72,4,0,0,3107,881,606,742,815,6234,7,0,76,6151,0.0010505352915383605,0.0,0.0040106933177006835,0.17238192536013008
