Unnamed: 0,Layer,assurance,banque,bourse,comparateur,crédit,forum,institution,presse-1,presse-2,presse-3,presse-4,presse-5,presse-6,siteinfo,wikipedia-1,wikipedia-2,wikipedia-3,wikipedia-4,wikipedia-5,Count,CountBusiness,CountForum,CountPresse,CountWikipedia,Char,CharName,FreqBusiness,FreqForum,FreqPresse,FreqWikipedia
11173,128,306069,384494,306097,689149,56749,290947,23923,764443,519991,380485,3232110,709491,1520422,1496023,517639,745307,1178936,1231249,1131813,15485337,3238581,314870,7126942,4804944,',Apostrophe,486.0348050007993,160.26421894007518,376.10498230316244,134.6586730560242
7699,88,110027,214136,127257,248824,13648,2063418,64042,573498,323560,207429,2050495,939744,1374736,1354461,1336179,993868,258940,279354,267344,12800960,2068353,2127460,5469462,3135685, ,Space,310.4111174084632,1082.8459847754702,288.6359828265502,87.87764877627694
11333,128,7414,17916,17244,11805,1440,5184,521,30702,23571,15829,119547,29822,23615,40340,238777,175894,53732,57506,52972,923831,96159,5705,243086,578881,-,Hyphen-Minus,14.431203299862457,2.903761454102102,12.828202576665637,16.223154175645824
1362,16,2403,1286,1617,837,309,1290,47,16251,9989,6299,19492,524,4339,3073,3244,3400,4503,4473,4349,87725,9525,1337,56894,19969,«,Left-Pointing Double Angle Quotation Mark,1.429478378843269,0.6805134205319037,3.00242612654293,0.5596317131387478
1361,16,1886,1192,1554,775,284,1002,47,15864,3133,3583,19258,549,4264,3128,3131,3439,4372,4266,4208,75935,8819,1049,46651,19416,»,Right-Pointing Double Angle Quotation Mark,1.3235243908681145,0.5339256380987037,2.461879657421771,0.5441338746207586
6358,72,0,12,5,0,0,2,0,3,0,15,76,10,0,6,24762,5792,322,288,90,31383,23,2,104,31254,|,Vertical Line,0.003451758815054613,0.001017970711341666,0.005488317171590409,0.875894113998619
15598,168,336,306,171,417,4,470,8,2057,17,196,1068,224,32,126,9155,9898,134,79,118,24816,1360,478,3594,19384,•,Bullet,0.20410399949888147,0.24329500001065815,0.18966357610284548,0.543237073838524
2022,24,66,199,83,5,0,155,0,68,36,7537,8544,32,8,42,982,900,175,210,205,19247,395,155,16225,2472,.,Full Stop,0.059280205736807486,0.07889273012897911,0.8562302510486,0.06927786042761203
2115,24,485,4,27,12,2,46,0,56,8,33,102,10,9,37,5434,3858,326,445,370,11264,567,46,218,10433,"""",Quotation Mark,0.08509335861460719,0.023413326360858317,0.011504357148141435,0.2923850800328788
659,8,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1531,1257,1180,985,1079,6035,1,1,1,6032,:,Colon,0.00015007647021976578,0.000508985355670833,5.277228049606163e-05,0.1690469474511957
2820,32,16,137,64,576,3,353,3,72,9,22,166,7,1,195,620,484,559,564,567,4418,991,356,277,2794,°,Degree Sign,0.14872578198778788,0.18119878661881653,0.01461792169740907,0.07830191829884628
660,8,0,1,1,0,0,12,0,20,0,16,20,1,3,9,613,670,641,876,808,3691,11,12,60,3608,é,Latin Small Letter E With Acute,0.0016508411724174236,0.006107824268049996,0.0031663368297636975,0.10111428819693535
670,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,56,1616,8,0,4,1687,0,0,3,1684,←,Leftwards Arrow,0.0,0.0,0.00015831684148818489,0.04719414116508845
1371,16,1,0,7,1,0,55,2,2,3,5,1,2,0,23,534,368,205,144,233,1586,32,57,13,1484,=,Equals Sign,0.004802447047032505,0.029012165273237477,0.0006860396464488011,0.041589136276123075
5191,56,10,28,87,48,0,2,3,10,14,71,138,384,33,1,222,214,63,18,49,1395,174,5,650,566,→,Rightwards Arrow,0.026113305818239247,0.002544926778354165,0.034301982322440056,0.01586216383577201
674,8,0,0,0,0,0,49,0,0,0,0,0,0,0,0,518,666,30,45,40,1348,0,49,0,1299,d,Latin Small Letter D,0.0,0.024940282427870816,0.0,0.036404506753830106
2970,32,7,4,2,1,4,277,2,5,2,1,14,1,1,10,307,287,45,91,129,1190,28,279,24,859,<,Less-Than Sign,0.004202141166153442,0.14200691423216238,0.001266534731905479,0.024073495998106282
2123,24,0,5,13,11,0,199,0,18,1,10,29,17,11,14,193,149,119,175,176,1140,43,199,86,812,",",Comma,0.0064532882194499284,0.10128808577849575,0.0045384161226613,0.02275631984919942
2188,24,0,7,2,9,0,3,0,4,6,23,59,102,18,32,128,653,0,0,0,1046,50,3,212,781,↓,Downwards Arrow,0.007503823510988289,0.001526956067012499,0.011187723465165065,0.021887544091409788
2924,32,1,0,0,3,5,27,0,0,1,12,66,326,12,0,13,91,84,121,108,870,9,27,417,417,★,Black Star,0.001350688231977892,0.013742604603112489,0.0220060409668577,0.011686435193492805
2998,32,0,1,245,0,0,0,0,4,0,0,0,1,15,10,98,329,39,69,52,863,256,0,20,587,>,Greater-Than Sign,0.03841957637626004,0.0,0.0010554456099212326,0.016450689349113375
2205,24,29,57,28,40,0,34,0,279,31,35,145,34,8,104,8,2,15,3,6,858,258,34,532,34,"
",Char 10,0.03871972931669957,0.01730550209280832,0.028074853223904787,0.0009528508311241136
2938,32,0,25,3,7,0,175,0,6,17,41,112,369,6,1,21,14,5,2,4,808,36,175,551,46,♥,Black Heart Suit,0.005402752927911568,0.08907243724239576,0.029077526553329958,0.001289151124462036
686,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,753,0,12,0,0,765,0,0,0,765,_,Low Line,0.0,0.0,0.0,0.021439143700292557
687,8,0,0,0,86,0,0,0,0,3,26,37,9,0,4,50,104,149,91,159,718,90,0,75,553,f,Latin Small Letter F,0.01350688231977892,0.0,0.003957921037204622,0.015497838517989259
3749,40,0,4,0,1,0,178,0,1,0,3,32,461,8,2,1,3,0,0,0,694,7,178,505,4,🔴,Large Red Circle,0.0010505352915383605,0.09059939330940826,0.026650001650511124,0.00011210009777930749
691,8,0,1,0,0,0,0,0,0,0,6,0,0,0,0,224,384,9,1,24,649,1,0,6,642,*,Asterisk,0.00015007647021976578,0.0,0.00031663368297636977,0.017992065693578852
697,8,0,8,0,0,0,0,0,1,0,0,4,0,0,0,229,236,12,18,33,541,8,0,5,528,/,Solidus,0.0012006117617581263,0.0,0.00026386140248030814,0.014797212906868588
3018,32,0,0,2,5,0,14,0,6,3,30,68,59,7,8,28,69,35,52,49,435,15,14,173,233,!,Exclamation Mark,0.002251147053296487,0.007125794979391661,0.009129604525818662,0.006529830695644661
1485,16,27,6,0,0,0,4,0,0,0,1,4,2,2,0,101,73,63,60,75,418,33,4,9,372,(,Left Parenthesis,0.004952523517252271,0.002035941422683332,0.00047495052446455466,0.010425309093475596
1487,16,27,6,0,0,0,4,0,1,0,1,4,2,2,0,101,72,55,57,75,407,33,4,10,360,),Right Parenthesis,0.004952523517252271,0.002035941422683332,0.0005277228049606163,0.010089008800137673
