Unnamed: 0,Layer,Input,Output,assurance,banque,bourse,comparateur,crédit,forum,institution,presse-1,presse-2,presse-3,presse-4,presse-5,presse-6,siteinfo,wikipedia-1,wikipedia-2,wikipedia-3,wikipedia-4,wikipedia-5,Count,CountBusiness,CountForum,CountPresse,CountWikipedia,CharName,CharFamily
0,0,,',39,45,32,134,0,65079,0,1400,8359,1018,15,3,2,738,24,21,31,9,21,76970,988,65079,10797,106,Char 146,Latin
1,0,,€,8,5,13,145,0,11797,0,16,465,136,3,21,37,1789,1,2,2,2,9,14451,1960,11797,678,16,Char 128,Latin
2,0,,…,8,0,1,5,0,2502,0,56,1051,208,347,0,32,106,3,6,5,4,5,4339,120,2502,1694,23,Char 133,Latin
3,0,,oe,0,0,4,4,0,663,2,139,567,61,6,2,3,95,2,3,0,3,1,1555,103,665,778,9,Char 156,Latin
4,0,,-,0,21,0,8,0,1025,0,22,289,46,11,1,7,3,6,3,9,9,0,1460,32,1025,376,27,Char 150,Latin
5,0,,•,6,0,2,3,0,477,0,0,35,70,115,0,3,2,0,0,0,0,0,713,13,477,223,0,Char 149,Latin
6,0,,«,0,3,24,0,0,202,0,41,172,58,70,0,1,0,1,2,2,0,3,579,27,202,342,8,Char 147,Latin
7,0,,»,0,4,25,4,0,203,0,37,142,55,65,0,1,0,1,0,2,0,9,548,33,203,300,12,Char 148,Latin
8,0,,-,0,70,0,4,0,65,0,3,191,11,6,0,0,0,3,3,4,0,0,360,74,65,211,10,Char 151,Latin
9,0,,',0,0,0,0,0,146,0,1,4,8,3,0,0,52,1,0,2,0,1,218,52,146,16,4,Char 145,Latin
10,1,Ãª,ê,1,19,3,85,2,32,0,144,5,100,80,0,0,3,0,0,0,0,2,476,113,32,329,2,"Latin Capital Letter A With Tilde , Feminine Ordinal Indicator",Latin
11,1,Ã¨,è,0,10,11,125,54,27,0,2,14,104,98,4,0,2,7,0,0,2,0,460,202,27,222,9,"Latin Capital Letter A With Tilde , Diaeresis",Latin
12,1,Ã´,ô,0,4,1,154,2,5,0,109,0,21,21,1,0,1,2,0,0,0,0,321,162,5,152,2,"Latin Capital Letter A With Tilde , Acute Accent",Latin
13,1,Ã§,ç,0,0,1,53,34,12,0,87,3,43,56,1,0,1,1,2,0,0,0,294,89,12,190,3,"Latin Capital Letter A With Tilde , Section Sign",Latin
14,1,Ãš,Ú,0,0,0,0,0,11,0,220,0,0,0,0,0,0,0,0,0,0,0,231,0,11,220,0,"Latin Capital Letter A With Tilde , Latin Small Letter S With Caron",Latin
15,1,Ã‰,É,0,5,0,110,8,0,0,7,0,0,1,0,0,0,1,1,2,0,0,135,123,0,8,4,"Latin Capital Letter A With Tilde , Per Mille Sign",Latin
16,1,â‚¬,€,0,0,3,3,3,11,0,53,0,0,1,0,0,2,0,0,0,0,0,76,11,11,54,0,"Latin Small Letter A With Circumflex , Single Low-9 Quotation Mark , Not Sign",Latin
17,1,Ã¢,â,0,13,0,1,0,0,0,25,0,14,13,1,0,0,0,0,1,0,0,68,14,0,53,1,"Latin Capital Letter A With Tilde , Cent Sign",Latin
18,1,Ã»,û,0,0,0,6,1,2,0,26,0,6,6,0,0,0,0,0,0,0,0,47,7,2,38,0,"Latin Capital Letter A With Tilde , Right-Pointing Double Angle Quotation Mark",Latin
19,1,Å“,oe,0,1,0,28,1,0,0,5,1,1,7,0,0,1,0,0,0,0,0,45,31,0,14,0,"Latin Capital Letter A With Ring Above , Left Double Quotation Mark",Latin
20,1,Ã¹,ù,0,1,0,3,3,6,0,9,0,5,8,0,0,0,0,0,0,0,0,35,7,6,22,0,"Latin Capital Letter A With Tilde , Superscript One",Latin
21,1,Ã«,ë,0,4,0,7,1,0,0,3,1,2,6,0,0,0,0,0,0,0,0,24,12,0,12,0,"Latin Capital Letter A With Tilde , Left-Pointing Double Angle Quotation Mark",Latin
22,1,Â´,',0,0,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16,15,0,1,0,"Latin Capital Letter A With Circumflex , Acute Accent",Latin
23,1,Ã€,À,0,1,0,3,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,15,4,0,11,0,"Latin Capital Letter A With Tilde , Euro Sign",Latin
24,1,Â²,(2),0,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,1,0,0,"Latin Capital Letter A With Circumflex , Superscript Two",Latin
25,1,Ã¯,ï,0,0,0,0,0,0,0,8,0,2,3,1,0,0,0,0,0,0,0,14,0,0,14,0,"Latin Capital Letter A With Tilde , Macron",Latin
26,1,Ã‡,Ç,0,0,0,0,0,2,0,9,2,0,0,0,0,0,0,0,0,0,0,13,0,2,11,0,"Latin Capital Letter A With Tilde , Double Dagger",Latin
27,1,Â¬,,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,1,0,0,"Latin Capital Letter A With Circumflex , Not Sign",Latin
28,1,Â¨,,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,"Latin Capital Letter A With Circumflex , Diaeresis",Latin
29,1,Ãº,ú,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,6,"Latin Capital Letter A With Tilde , Masculine Ordinal Indicator",Latin
30,1,Â£,£,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,"Latin Capital Letter A With Circumflex , Pound Sign",Latin
31,1,Ã”,Ô,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,"Latin Capital Letter A With Tilde , Right Double Quotation Mark",Latin
32,1,â€“,-,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,5,1,0,2,2,"Latin Small Letter A With Circumflex , Euro Sign , Left Double Quotation Mark",Latin
